Year,Month,Quarter,PoliceStation,CrimeCount
2014,7,2014 Q3,New Lynn,90
2014,7,2014 Q3,New Plymouth Central,17
2014,7,2014 Q3,Newmarket,83
2014,7,2014 Q3,Ngaruawahia,38
2014,7,2014 Q3,Ngatea,2
2014,7,2014 Q3,Norsewood,3
2014,7,2014 Q3,North Shore Policing Centre,87
2014,7,2014 Q3,Nuhaka,3
2014,7,2014 Q3,Oamaru,43
2014,7,2014 Q3,Ohai,6
2014,7,2014 Q3,Ohakune,11
2014,7,2014 Q3,Okato,3
2014,7,2014 Q3,Omakau,3
2014,7,2014 Q3,Omarama,2
2014,7,2014 Q3,Onehunga,74
2014,7,2014 Q3,Onerahi CPC,16
2014,7,2014 Q3,Opotiki,33
2014,7,2014 Q3,Opunake,8
2014,7,2014 Q3,Orewa,45
2014,7,2014 Q3,Ormiston,117
2014,7,2014 Q3,Otahuhu,171
2014,7,2014 Q3,Otaki,33
2014,7,2014 Q3,Otautau,2
2014,7,2014 Q3,Otorohanga,22
2014,7,2014 Q3,Owaka,5
2014,7,2014 Q3,Oxford,13
2014,7,2014 Q3,Paeroa,16
2014,7,2014 Q3,Pahiatua,13
2014,7,2014 Q3,Paihia,16
2014,7,2014 Q3,Palmerston,3
2014,7,2014 Q3,Palmerston North,134
2014,7,2014 Q3,Papakura,133
2014,7,2014 Q3,Papamoa,35
2014,7,2014 Q3,Papanui,147
2014,7,2014 Q3,Patea,4
2014,7,2014 Q3,Picton,13
2014,7,2014 Q3,Piopio,3
2014,7,2014 Q3,Pleasant Point,3
2014,7,2014 Q3,Ponsonby,72
2014,7,2014 Q3,Porangahau,1
2014,7,2014 Q3,Porirua Central,58
2014,7,2014 Q3,Port Chalmers,6
2014,7,2014 Q3,Portobello,7
2014,7,2014 Q3,Pukekohe,87
2014,7,2014 Q3,Putaruru,31
2014,7,2014 Q3,Queenstown,43
2014,7,2014 Q3,Raetihi,4
2014,7,2014 Q3,Raglan,19
2014,7,2014 Q3,Rakaia,4
2014,7,2014 Q3,Ranfurly,3
2014,7,2014 Q3,Rangiora,40
2014,7,2014 Q3,Rawene,7
2014,7,2014 Q3,Reefton,1
2014,7,2014 Q3,Richmond,71
2014,7,2014 Q3,Riversdale,2
