Police_station,address
Johnsonville Police Station,"
            6-10 Moorefield Rd,Johnsonville,Wellington"
Kaeo Police Station,"
            Leigh St,Kaeo"
Kaiapoi Police Station,"
            149 Williams St,Kaiapoi"
Kaikohe Police Station,"
            142 Broadway,Kaikohe"
Kaikorai Valley Community Policing Centre,"
            33 Kaikorai Valley Rd,Kaikorai"
Kaikoura Police Station,"
            12 Hastings St,Kaikoura"
Kaitaia Police Station,"
            17-19 Redan Rd,Kaitaia,Kaitaia"
Kamo Police Station,"
            416 Kamo Rd,Kamo,Whangarei"
Kapiti Police Station,"
            Corner Rimu Road and Kapiti Road,Paraparaumu"
Karamea Police Station,"
            37 Wharf Rd,Karamea"
Katikati Police Station,"
            78 Main Rd,Katikati"
Kawakawa Police Station,"
            18 Albert St,Kawakawa"
Kawerau Police Station,"
            3 Bledisloe St,Kawerau"
Kawhia Police Station,"
            98 Tainui St,Kawhia"
Kerikeri Police Station,"
            102 Kerikeri Rd,Kerikeri"
Kilbirnie Police Station,"
            639 Evans Bay Pde,Kilbirnie,Wellington"
Kimbolton Police Station,"
            2890 Kimbolton Rd,Kimbolton,Kimbolton"
Knowledge and Information Services,"
            Royal NZ Police College, Papakowhai Rd,PORIRUA"
Kohukohu Police Station,"
            2 Maning St,Kohukohu"
Kotemaori Police Station,"
            4780 State Highway,Kotemaori,Hawke's Bay"
Kumeu/Huapai Police Station,"
            4 Matua Road,Huapai"
Kurow Police Station,"
            29 Bledisloe St,Kurow"
Lake Tekapo Police Station,"
            SH 8,Lake Tekapo"
Lawrence Police Station,"
            27 Beaumont Hwy,Lawrence"
Leeston Police Station,"
            2 Cunningham St,Leeston"
Levin Police Station,"
            7 Bristol St,Levin"
Lincoln Police Station,"
            30 Gerald St,Lincoln"
Linton Police Station,"
            Puttick Rd,Linton Camp,Palmerston North"
Lower Hutt Police Station,"
            19 Kings Cres,Lower Hutt 5010"
Lumsden Police Station,"
            28 Hero St,Lumsden"
Lyttelton Police Station,"
            5-9 Sumner Rd,Lyttelton"
Mahurangi Police Station,"
            1 Hamatana Rd,Snells Beach,Warkworth"
Managers Guild: Field Officer,"
            c/- The Royal New Zealand Police College, Papakowhai Road,Porirua"
Mangakino Police Station,"
            88 Rangatira Dr,Mangakino"
Mangawhai Police Station,"
            35 Moir St,Mangawhai"
Mangere Police Station,"
            92 Bader Drive,Mangere"
Mangonui Police Station,"
            1 Beach Rd,Mangonui"
Manukau Police Station,"
            42 Manukau Station Rd,Manukau City"
Manurewa Police Station,"
            14 Halver Rd,Manurewa"
Manutuke Police Station,"
            82 Whakato Rd,Manutuke"
Maraenui Police Station,"
            36 Bledisloe Rd,Maraenui,Napier"
"Maritime Unit, Police","
            Auckland Launch Base, Marine Rescue Centre, 3 Solent Street, Mechanics Bay,Auckland"
Martinborough Police Station,"
            16 Cork St,Martinborough"
Marton Police Station,"
            22 Stewart St,Marton,Marton"
Massey Police Station,"
            390 Don Buck Rd,Massey,Henderson"
Massey University Police Station,"
            University Av,Massey University,Palmerston North"
Masterton Police Station,"
            21 Church Street,Masterton"
Matamata Police Station,"
            16-18 Tui St,Matamata"
Mataura Police Station,"
            117 Main St,Mataura"
Matawai Police Station,"
            Matawai Rd,Matawai"
Maungaturoto Police Station,"
            99 Hurndall St East,Maungaturoto"
Methven Police Station,"
            15-17 Methven Chertsey Rd,Methven"
Middlemarch Police Station,"
            12 Nottage St,Middlemarch"
Milton Police Station,"
            35 Spenser St,Milton"
Mokau Police Station,"
            1 Oha St,Mokau"
Morrinsville Police Station,"
            31 Moorhouse St,Morrinsville"
Mosgiel Police Station,"
            105 Gordon Rd,Mosgiel"
Motorway Policing Traffic Centre,"
            28 Sulphur Beach Road, Northcote Point,Auckland"
Motueka Police Station,"
            68 High St,Motueka"
Mount Maunganui Police Station,"
            9 Hull Road,Mount Maunganui"
Mount Wellington Police Station,"
            6A Harrison Rd,Mount Wellington,Panmure"
Murchison Police Station,"
            15 Fairfax St,Murchison"
Murupara Police Station,"
            23 Pine Dr,Murupara"
Naenae Community Policing Centre,"
            5-11 Sladden St,Naenae"
Napier Police Station,"
            135 Dalton Street,Napier"
National Park Police Station,"
            31 Buddo St,National Park"
Nelson Central Police Station,"
            1 St John Street,Nelson 7010"
Network Management Centre,"
            Operations and Technical Services, Information and Technology Group , Royal New Zealand Police College,Porirua"
New Brighton Police Station,"
            147-149 Seaview Rd,New Brighton,Christchurch"
New Lynn Police Station,"
            3092 Great North Rd,New Lynn,Henderson"
New Plymouth Central Police Station,"
            95 Powderham Street,New Plymouth"
New Zealand Police Association,"
            Level 11 Crowe Horwath House, 
57 Willis Street,WELLINGTON"
New Zealand Police Liaison Officer (Parliament),"
            Office of Minister of Police
Parliament Buildings,WELLINGTON"
Newmarket Police Station,"
            58 Remuera Rd,Remuera,Newmarket"
Ngaruawahia Police Station,"
            12 Waikato Esplanade,Ngaruawahia"
Ngatea Police Station,"
            91 Orchard West Rd,Ngatea"
Norsewood Police Station,"
            9 Coronation St,Norsewood"
North Invercargill (Person Squad) Police Station,"
            72 Windsor Street,Windsor,Invercargill"
North Shore Police Station,"
            52 Parkway Dr,Rosedale,North Shore 0745"
Northland District Headquarters,"
            88 Cameron Street,Whangarei,WHANGAREI"
Nuhaka Police Station,"
            3215 SH 2,Nuhaka"
Oamaru Police Station,"
            18 Severn St,Oamaru"
Ohai Police Station,"
            75 Birchwood Rd,Ohai"
Ohakea Patrol Base Weigh Station,"
            3302 SH 1,Sanson"
Ohakune Police Station,"
            10 Clyde St,Ohakune"
Okato Police Station,"
            84 Oxford Rd,Okato"
Omakau Police Station,"
            33 Leask St,Omakau"
Omarama Police Station,"
            14 Chain Hills Hwy,Omarama"
Onehunga Police Station,"
            126 Onehunga Mall,Onehunga"
Onerahi Police Station,"
            Onerahi Tavern Carpark, Onerahi Rd,Onerahi,Whangarei"
Opotiki Police Station,"
            29 King St,Opotiki"
Opunake Police Station,"
            105 Tasman St,Opunake"
Orewa Police Station,"
            4 Riverside Rd,Orewa 0931,Rodney"
Ormiston Police Station,"
            50 Ormiston Road,Flat Bush,Auckland"
Otahuhu Police Station,"
            180 Great South Rd,Otahuhu"
